B0,B1,B2,B3,ConKingdom,Habitat,OriginalTraitName,Rsqu,aic,aicc,bic,id
-6.6717589141107965,1.0617445802935321,-0.05594798665803429,0.0009784043143777482,Metazoa,freshwater,Relative Growth Rate,0.8509575124363826,-119.47444784187918,-111.47444784187918,-118.264107469903,289
-6.644204681224075,1.0602886406307617,-0.05601356448311031,0.0009820417784290906,Metazoa,freshwater,Relative Growth Rate,0.9018890526288683,-124.14215859385556,-116.14215859385556,-122.93181822187937,290
-5.962798861912004,0.9485803837587005,-0.04994570431241518,0.0008724465677488359,Metazoa,freshwater,Relative Growth Rate,0.9156441894433934,-175.05897844589185,-170.05897844589185,-172.7991810160457,291
7.78742250344472,-1.2394091867676182,0.0653052005741533,-0.0011379948872275384,Metazoa,freshwater,Relative Growth Rate,0.8347741494346597,-94.779488273933,-81.44615494059967,-94.46172210721366,292
-5.638334301647771,0.90032886927027,-0.04756693385509699,0.0008340267216719796,Metazoa,freshwater,Relative Growth Rate,0.48174367210909186,-150.93137390205152,-146.48692945760706,-148.3751445835905,293
8.043352484711802,-1.2758402382805092,0.06704444446134458,-0.0011656688121394886,Metazoa,freshwater,Relative Growth Rate,0.5456458859606101,-88.45592102598319,-75.12258769264986,-88.13815485926385,294
7.095230110577809,-1.144144509997386,0.06112522038856875,-0.0010800843094567073,Metazoa,freshwater,Relative Growth Rate,0.8491480666580848,-98.94199970929134,-85.60866637595801,-98.624233542572,295
6.52315351625995,-1.0343505095885108,0.054306132506353015,-0.0009421233728277102,Metazoa,freshwater,Relative Growth Rate,0.90303207297538,-132.45863388449467,-125.791967217828,-130.86705279330118,296
-6.686845616604251,1.0564850599155344,-0.055217773834836024,0.0009576438207379212,Metazoa,freshwater,Relative Growth Rate,0.7123048158299041,-120.6819829251603,-114.01531625849363,-119.09040183396681,297
6.344872937428988,-1.006122224908264,0.05289370909211132,-0.0009200307900948256,Metazoa,freshwater,Relative Growth Rate,0.41774794052937414,-134.36576169195385,-128.65147597766813,-132.42613509280184,298
-6.280680841811008,1.0031426382221957,-0.053029751898932054,0.0009299140186209108,Metazoa,freshwater,Relative Growth Rate,0.9107207008782008,-158.8879537080653,-153.1736679937796,-156.9483271089133,299
6.933965108678662,-1.0907216302108453,0.05677973930610383,-0.0009763868852631627,Metazoa,freshwater,Relative Growth Rate,0.773928928429065,-107.02329994918205,-99.02329994918205,-105.81295957720586,300
