B0,ConKingdom,Habitat,OriginalTraitName,Rsqu,T0,Tm,aic,aicc,bic,id
0.00013417874034414852,Metazoa,freshwater,Relative Growth Rate,-6.086969866288626,16.3,24.0,-110.2517854235819,-109.91845209024856,-108.33461343473611,176
0.00012312600623142788,Metazoa,freshwater,Relative Growth Rate,-4.337900392315859,16.3,24.0,-108.6715429007826,-108.33820956744927,-106.75437091193682,177
0.00012372712988369434,Metazoa,freshwater,Relative Growth Rate,-5.078260755491811,16.3,24.0,-117.23526586953597,-116.92757356184366,-115.11111526622933,178
0.00013787863523950688,Metazoa,freshwater,Relative Growth Rate,-4.274507156470017,16.3,24.0,-91.60726912547125,-91.20726912547124,-90.15254917610724,179
0.0002708642311096494,Metazoa,freshwater,Relative Growth Rate,-19.391062875347696,19.5,24.0,-69.08090168385301,-68.50947311242444,-68.48922795184436,180
0.00012473706700436788,Metazoa,freshwater,Relative Growth Rate,-8.78490217074489,16.3,24.0,-117.93946318110532,-117.63177087341302,-115.8153125777987,181
0.00032800961833213217,Metazoa,freshwater,Relative Growth Rate,-21.014049376974462,19.5,24.0,-76.25123262452462,-75.75123262452462,-75.34347734554248,182
0.00011386209555473713,Metazoa,freshwater,Relative Growth Rate,-1.8039347571777835,16.3,24.0,-114.71638984672921,-114.35275348309285,-113.0215417743446,183
0.00012963958771134416,Metazoa,freshwater,Relative Growth Rate,-36.03665025783579,19.5,24.0,-86.97783518030556,-86.47783518030556,-86.07007990132342,184
0.00010997028423211969,Metazoa,freshwater,Relative Growth Rate,-8.899874224745714,16.3,24.0,-116.88572533912479,-116.55239200579146,-114.96855335027901,185
8.978519180652881e-05,Metazoa,freshwater,Relative Growth Rate,-9.425447687653932,16.3,24.0,-167.90214794547424,-167.66685382782717,-165.06883100797492,186
5.687824318641346e-05,Metazoa,freshwater,Relative Growth Rate,-22.71206033885591,16.3,24.0,-155.30284874590672,-155.01713446019244,-152.98508257918738,187
0.00013790845841984428,Metazoa,freshwater,Relative Growth Rate,-25.38349874914113,19.5,24.0,-78.65518872843474,-78.08376015700617,-78.06351499642608,188
